coursePrefix,courseNum,fee,section,credits,prof,title,days,times,building,room,days2,times2,building2,room2
ALS,5156,12.99,10364,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,12.99,10365,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0.0,10366,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0.0,10367,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
PCB,6447C,10.0,21119,4,"Robert Holt,Todd Palmer",Community Ecology,"T,R",6-7,CRR,0521,,,,
ZOO,6927,0.0,17989,VAR,William Barbazuk,Special Topics in Zoology: SPECIAL TOPICS,,,,,,,,
ZOO,6927,0.0,17990,2,Jonathan Bloch,Special Topics in Zoology: FL. Verterbrate Paleontology,M,4-5,MAEB,0229,,,,
ZOO,6927,0.0,18957,2,Rebecca Kimball,Special Topics in Zoology: GRANT WRITING SEMINAR,M,6-7,CRR,0222,,,,
ZOO,6927,0.0,19118,3,Jose Ponciano Castellanos,Special Topics in Zoology: Statistical Ecology,"M,W,F",2,BAR,0211,,,,
ZOO,6927,0.0,21309,3,Amanda Subalusky,Special Topics in Zoology: Zoogeochemistry,M,6,CRR,0611,W,6-7,CRR,0611
ZOO,6927,0.0,21833,3,James Gillooly,Special Topics in Zoology: Physiology of Environ Change,"T,R",5-6,FLG,0270,,,,
ZOO,6927,0.0,23698,2,Jonathan Bloch,Special Topics in Zoology: Systematics& the Fossil Record,,,,,,,,
ZOO,6927,0.0,25840,3,Matt Gitzendanner,Special Topics in Zoology: AI in Biology,"M,W,F",7,BAR,0211,,,,
ZOO,6927,0.0,27816,3,Edward Braun,"Special Topics in Zoology: Zoo:Big Data, Sequence Cap Dat",M,6,NRNA,0504,W,6-7,NRNA,0504
ZOO,6927,0.0,28791,1,Gareth Fraser,Special Topics in Zoology: Trends in Modern Zoology,R,6,CSE,E221,,,,
ZOO,6927,0.0,29596,3,Hannah Vander Zanden,Special Topics in Zoology: Stable Isotope Ecology,W,4-5,CRR,0222,F,4,CRR,0222
ZOO,6927,0.0,31257,3,"David Plotkin,Lawrence Reeves,Akito Kawahara",Special Topics in Zoology: GLOBAL CHANGE AND INSECTS,"M,W",5,,,,,,
ZOO,6927,0.0,31884,3,Stephanie Bogart,Special Topics in Zoology: Primate Behavior,T,3,TUR,1101,R,3-4,FAC,0120
ENV,6932,0.0,12628,3,Antarpreet Jutla,Special Problems in Environmental Engineering: ENV SIGNAL PROCESSING,T,9-10,BLK,0415,R,9,BLK,0415
