coursePrefix,courseNum,fee,section,credits,prof,title,days,times,building,room,days2,times2,building2,room2
ALS,5156,12.99,10327,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,12.99,10328,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
ALS,5156,0.0,10329,3,Jennifer Weeks,Agricultural Ecology Principles and Applications,,,,,,,,
PCB,5338,0.0,19660,3,Amanda Subalusky,Principles of Ecosystem Ecology,W,4-5,CHE,0316,F,4,CHE,0316
FAS,5901,0.0,14419,2,William Lindberg,Scientific Thinking in Ecology,W,2-3,CBD,0224,,,,
EES,6007,57.99,23024,3,Katherine Deliz Quinones,Advanced Energy and Environment,T,5-6,CSE,E107,R,6,CSE,E107
EES,6007,57.99,25313,3,Katherine Deliz Quinones,Advanced Energy and Environment,,,,,,,,
EES,6007,0.0,25314,3,Katherine Deliz Quinones,Advanced Energy and Environment,,,,,,,,
ZOO,6927,0.0,18771,2,Edward Stanley,Special Topics in Zoology: CT FOR BIOLOGISTS,M,4-5,CHE,0316,,,,
ZOO,6927,0.0,18779,1,"Robert Guralnick,Pamela Soltis,Douglas Soltis,Lucas Majure,Emily Sessa",Special Topics in Zoology: PHYLOGENETICS SYS SEM,M,3,TUR,2322,,,,
ZOO,6927,0.0,18780,2,Mathew Leibold,Special Topics in Zoology: PRIN OF GRAD.TRAINING,W,4-5,PSY,0151,,,,
ZOO,6927,0.0,18781,3,Marta Wayne,Special Topics in Zoology: SPECIAL TOPICS,,,,,,,,
ZOO,6927,0.0,24986,3,Hua Yan,Special Topics in Zoology: Sensory System and Behavior,W,2-3,CHE,0316,F,3,CHE,0316
ZOO,6927,0.0,25522,1,David Julian,Special Topics in Zoology: Research Scholarship Seminar,F,7,,,,,,
ZOO,6927,0.0,26738,1,Carl Keiser,Special Topics in Zoology: Equity and Injustice in BioSci,T,3-4,CRR,0611,,,,
ZOO,6927,0.0,26919,1,Ellen Davis,Special Topics in Zoology: Practical Pedagody,W,E1-E2,ROG,0106,,,,
ENV,6932,0.0,20446,3,Andrew Altieri,Special Problems in Environmental Engineering: Ecosystem Engineers,T,4,BLK,0315,R,4-5,BLK,0315
ENV,6932,0.0,23045,3,Sara Behdad,Special Problems in Environmental Engineering: Sys Anlys 4 Sus Des & LC Dec,T,2-3,BLK,0315,R,3,BLK,0315
ENV,6932,0.0,26831,3,James Cahill,Special Problems in Environmental Engineering: ENVIRONMENTAL GENOMICS,"M,W,F",4,BLK,0315,,,,
ENV,6932,0.0,26832,3,Sara Behdad,Special Problems in Environmental Engineering: AI AND ML IN ENV ENG,T,7,BLK,0315,R,7-8,BLK,0315
ENV,6932,0.0,27077,3,Andreia Fonseca de Faria,Special Problems in Environmental Engineering: MICROBIOL OF ENV ENG SYS,"M,W,F",10,NEB,0202,,,,
ENV,6932,0.0,27772,2,"Christine Angelini,Thomas Ankersen",Special Problems in Environmental Engineering: COASTAL POLICY LAB,,,,,,,,
ENY,6203,0.0,12788,3,Philip Hahn,Insect Ecology,"M,W,F",3,EYN,1027,,,,
ENY,6203,0.0,12789,3,Philip Hahn,Insect Ecology,,,,,,,,
ENY,6203,0.0,12790,3,Philip Hahn,Insect Ecology,,,,,,,,
