coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,$2.65,02AG,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2021,$2.65,DEPT,4,,,WEB,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,5005,,DEPT,2,T R,1-2,HGS,140,FINANCIAL ACCOUNTING,"Falk,Christopher W;",,,,
ACG,5226,$3.00,0007,2,T R,1-2,GER,0126,ADVANCED ACCOUNTING,"Singh,Sonia R;",,,,
ACG,2071,$2.65,4H43,4,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,2071,$2.65,DEPT,4,,,WEB,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,5815,$3.00,4003,2,T R,1-2,GER,0126,ACCOUNTING REGULATION,"Singh,Sonia R;",,,,
TAX,5065,$3.00,4D83,2,M W,1-2,GER,0121,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
TAX,5065,$3.00,4D84,2,M W,3-4,GER,0121,TAX PROF RESEARCH,"Boyles,Jesse V;",,,,
ACG,4111,$2.35,7H01,4,M W,1-2,GER,0126,FIN ACCOUNTING REP 2,"Singh,Sonia R;",,,,
ACG,4341,$2.35,7134,4,T R,3-4,GER,0126,COST MGMNT ACCOUNTING,"Kitto,Andrew R;",,,,
ACG,4941,,DEPT,VAR,TBA,,,,SUPERVISED INTERNSHIP,"Laibson,John;",,,,
ACG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Asare,Stephen K;",,,,
ADV,3001,,0010,3,MTWRF,2,TUR,2322,ADVERTISING STRATEGY,"Morton Padovano,Cynthia R;",,,,
ADV,3008,,0009,3,MTWRF,3,TUR,L005,PRINCIPLE OF ADVERTIS,"Dodoo,Naa Amponsah;",,,,
ADV,3500,,0012,3,MTWRF,6,TUR,2305,ADVERTISING RESEARCH,"Bakry,Amal Mohamed Gamal;",,,,
ADV,4101,$13.50,1063,3,TWR,3-4,WEIM,2056,COPY & VISUALIZATION,"Goodman,Jennifer Robyn Potter;",,,,
ADV,4300,,0649,3,MTWRF,7,NSC,0227,MEDIA PLANNING,"Starr,Walter J;",,,,
ADV,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL PROBLEMS,"Kelleher,Thomas A;",,,,
ADV,4940,,DEPT,VAR,TBA,,,,ADVERTISING INTERNSHP,"Kelleher,Thomas A;",,,,
MMC,2100,$1.50,DEPT,3,,,WEB,,WRITING MASS COMMUNIC,"Marino,Robert M;Moore,David L;",,,,
MMC,2100,$1.50,DEPT,3,,,WEB,,WRITING MASS COMMUNIC,"Marino,Robert M;Mccrory,Sean P;",,,,
MMC,2100,$1.50,DEPT,3,,,WEB,,WRITING MASS COMMUNIC,"Marino,Robert M;",,,,
ADV,3008,,4G83,3,MTWRF,7,AND,0134,PRINCIPLE OF ADVERTIS,"Starr,Walter J;",,,,
ADV,4940,,DEPT,VAR,TBA,,,,ADVERTISING INTERNSHP,"Kelleher,Thomas A;",,,,
ADV,3502,$1.50,7E39,3,,,WEB,,ADVERTISING SALES,"Padovano,Robert;",,,,
ADV,4400,$1.50,8763,3,,,WEB,,INTERNATNL ADVERTISNG,"Ju,Ilyoung;",,,,
ADV,4930,,DEPT,3,TBA,,,,INFLUENCE,"Weigold,Michael Fredrick;",,,,
ADV,4940,,DEPT,VAR,TBA,,,,ADVERTISING INTERNSHP,"Kelleher,Thomas A;",,,,
AFA,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,"Austin,Sharon Denise;",,,,
AFA,4905,,DEPT,VAR,TBA,,,,FIELD SCHOOL,"Davidson,James M;",,,,
AFA,4905,,DEPT,3,TBA,,,,FIELD SCHOOL LAB,"Davidson,James M;",,,,
AFA,3915C,,4C67,3,MTWRF,3,TUR,2318,MENTORING AT-RISK YTH,"Jones,Jaron L;",,,,
AFA,2000,$16.50,7H58,3,,,WEB,,INTR AFRICAN AMER STU,"Adejumo,Vincent E;",,,,
AFA,3110,$16.50,709H,3,,,WEB,,AFR AM/BLK ATLN THGHT,"Hart,Evan Elizabeth;",,,,
AFA,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,"Austin,Sharon Denise;",,,,
AFS,2002,,4260,3,MTWRF,4,TUR,2334,AFRICAN EXPERIENCE,"Boylan,Jennifer C;",,,,
AFS,4905,,DEPT,5,MTWRF,1-4,MCCA,3194,BEGINNING ZULU 1,STAFF;,,,,
