coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,,0002,4,TBA,,,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,,0010,4,,,WEB,,INTRO MANAGERIAL ACCT,"Schadewald,Michael;",,,,
ACG,3101,,04AA,4,T R,3-4,GER,0122,FIN ACCOUNTING REP 1,"Hinson,Lisa;",,,,
ACG,3101,,04AB,4,T R,5-6,GER,0122,FIN ACCOUNTING REP 1,"Hinson,Lisa;",,,,
ACG,3401,,04AC,4,M W,1-2,GER,0121,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3401,,04AE,4,M W,3-4,GER,0121,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3802,,9457,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,,04AF,4,M W,3-4,GER,0126,FIN ACCOUNTING REP 2,"Kirk,Marcus;",,,,
ACG,4111,,04AH,4,M W,5-6,GER,0126,FIN ACCOUNTING REP 2,"Kirk,Marcus;",,,,
ACG,4341,,04A3,4,T R,5-6,GER,0126,COST MGMNT ACCOUNTING,"Impink,Johannes;",,,,
ACG,4341,,1C06,4,M W,9-10,GER,0126,COST MGMNT ACCOUNTING,"Wang,Kailong;",,,,
ACG,4632,,DEPT,3,T R,7-8,GER,0229,INTRO TO AUDITING,"Krupa,Nicholas R;",,,,
ACG,4941,,DEPT,VAR,TBA,,,,SUPERVISED INTERNSHIP,"Laibson,John;",,,,
ACG,4970,,DEPT,1,TBA,,,,HONORS THESIS,"Laibson,John;",,,,
ACG,5005,,DEPT,2,M W,5-6,STZ,0101,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5005,,DEPT,2,M W,7-8,HGS,150,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5075,,DEPT,2,T R,7-8,HGS,250,MANAGERIAL ACCOUNTING,"Wang,Xi;",,,,
ACG,5075,,DEPT,2,T R,5-6,HGS,250,MANAGERIAL ACCOUNTING,"Wang,Xi;",,,,
ACG,5075,,DEPT,2,M W,5-6,HGS,250,MANAGERIAL ACCOUNTING,"Wang,Xi;",,,,
ACG,5226,,04C7,2,M W,3-4,GER,0122,ADVANCED ACCOUNTING,"Singh,Sonia R;",,,,
ACG,5226,,12DE,2,M W,5-6,GER,0122,ADVANCED ACCOUNTING,"Singh,Sonia R;",,,,
ACG,5505,,347A,2,T R,9-10,GER,0126,GOVERNMENTAL ACTG,STAFF;,,,,
ACG,5637,,0197,2,T R,3-4,GER,0229,AUDITING 1,"Bowler,Blake;",,,,
ACG,5647,,191G,2,T R,3-4,GER,0229,AUDITING 2,"Bowler,Blake;",,,,
ACG,5815,,04C9,2,M W,1-2,GER,0122,ACCOUNTING REGULATION,"Carnes,Robert R;",,,,
ACG,5815,,4852,2,M W,3-4,GER,0122,ACCOUNTING REGULATION,"Carnes,Robert R;",,,,
